Doubts,Examples,Knowledge,Suggestions,Time_Utilization,educatorId,efficiency,friendly,presenting,studentId,subject
5,5,4,,3,1,3,5,4,1,BI
3,3,5,,5,1,4,5,3,1,BI
2,4,5,,2,1,3,5,2,1,BI
2,3,5,,4,1,5,3,3,1,BI
4,4,5,,4,1,5,4,5,1,BI
3,4,5,,3,1,3,4,3,1,BI
3,4,5,,3,1,3,4,3,1,BI
4,5,4,,4,1,4,5,2,1,BI
5,3,4,,5,1,3,4,3,1,BI
5,5,3,,3,1,5,4,5,1,BI
,5,3,,3,1,4,3,5,1,BI
,5,3,,3,1,4,3,5,1,BI
5,3,4,,5,1,4,4,4,1,BI
,,3,,3,1,4,,,1,BI
,2,4,,4,1,3,,,1,BI
,2,5,,5,1,3,5,5,1,BI
,3,5,,3,1,5,4,4,1,BI
,3,5,,3,1,5,4,4,1,BI
,3,5,,3,1,5,4,4,1,BI
,3,5,,3,1,5,4,4,1,BI
,3,,,3,1,,,,1,BI
3,2,5,,5,1,2,3,5,1,BI
3,2,5,,5,1,2,3,5,1,BI
,3,,,4,1,3,,4,1,BI
5,5,3,,2,1,4,2,4,2,BI
,,,,,1,,3,5,3,AI
,,,,,1,,3,5,3,AI
2,3,5,good but need more ,5,1,3,4,5,4,ML
3,5,3,mohan bad boy,4,1,3,5,3,1,Statistics
2,3,5,hello mohan,5,1,3,5,3,2,Statistics
